,Published_time,news_content,news_headline
30,2024-01-30 11:53:00,"Ông Ngô Đăng Khoa (HSBC): Tỷ giá chịu áp lực trong quý 1, kết năm 2024 quanh vùng 24,400 đồng/USD: Trước xu hướng đồng USD tăng giá, ông Ngô Đăng Khoa - Giám đốc Khối ngoại hối, thị trường vốn và Dịch vụ chứng khoán, HSBC Việt Nam, có một số nhận...","Ông Ngô Đăng Khoa (HSBC): Tỷ giá chịu áp lực trong quý 1, kết năm 2024 quanh vùng 24,400 đồng/USD"
31,2024-01-29 19:02:00,"""Vua nha đam"" Việt có gì mà VietCapital muốn gom thêm cổ phiếu?: Tại GC Food, cổ đông lớn thứ hai là VietCapital đang muốn gom thêm cổ phiếu, dù trước đó tổ chức này vừa mới “xả hàng”. Động thái này diễn ra trong...","""Vua nha đam"" Việt có gì mà VietCapital muốn gom thêm cổ phiếu?"
32,2024-01-29 12:05:00,Phân tích kỹ thuật phiên chiều 29/01: Tâm lý giằng co vẫn còn tiếp diễn: VN-Index tăng điểm tăng điểm kèm theo xuất hiện mẫu hình nến High Wave Candle cho thấy tâm lý giằng co của nhà đầu tư đang tiếp diễn.,Phân tích kỹ thuật phiên chiều 29/01: Tâm lý giằng co vẫn còn tiếp diễn
33,2024-01-28 21:44:00,"Góc nhìn tuần 29/01 - 02/02: VN-Index gặp khó ở kháng cự mạnh 1,180 - 1,200?: Theo Chứng khoán Beta, VN-Index có vẻ đang gặp khó khăn khi tiệm cận vùng kháng cự mạnh tại 1,180 - 1,200 điểm và có thể cần thêm thời gian tích lũy...","Góc nhìn tuần 29/01 - 02/02: VN-Index gặp khó ở kháng cự mạnh 1,180 - 1,200?"
34,2024-01-26 18:31:00,"Theo dấu dòng tiền cá mập 26/01: Tự doanh và khối ngoài đồng thuận mua ròng: Phiên giao dịch ngày 26/01, khối tự doanh công ty chứng khoán và khối ngoại đồng thuận mua ròng, lần lượt hơn 554 tỷ đồng cổ phiếu và gần 244 tỷ đồng...",Theo dấu dòng tiền cá mập 26/01: Tự doanh và khối ngoài đồng thuận mua ròng
35,2024-01-26 10:00:00,"Bốn lãnh đạo DVG đăng ký mua vào tổng cộng 2.3 triệu cp: Với cùng thời gian giao dịch từ 26/01-23/02/2024, 4 lãnh đạo thuộc CTCP Đại Việt Group DVG (HNX: DVG) đã đăng ký mua vào tổng cộng 2.3 triệu cp.",Bốn lãnh đạo DVG đăng ký mua vào tổng cộng 2.3 triệu cp
36,2024-01-25 17:51:00,"Góc nhìn 26/01: Khó có biến động mạnh?: Các công ty chứng khoán (CTCK) cho rằng thanh khoản thị trường sẽ tiếp tục duy trì ở mức thấp, tuy nhiên VN-Index hoàn toàn có khả năng vượt ngưỡng...",Góc nhìn 26/01: Khó có biến động mạnh?
37,2024-01-24 20:47:00,Công ty của Chủ tịch muốn thoái sạch hơn 10% vốn tại NAG: Công ty TNHH Phát triển Kinh tế Quốc tế Anh Vũ - cổ đông lớn CTCP Tập đoàn Nagakawa (HNX: NAG) đã đăng ký thoái sạch toàn bộ hơn 3.2 triệu cp NAG...,Công ty của Chủ tịch muốn thoái sạch hơn 10% vốn tại NAG
38,2024-01-24 11:30:00,"Một công ty thủy sản lập chuỗi 13 quý thua lỗ, em dâu Chủ tịch muốn mua gần 3 triệu cp: CTCP Chế biến Thủy sản xuất khẩu Minh Hải (UPCoM: JOS) lỗ ròng hơn 18 tỷ đồng trong quý 4/2023, lập chuỗi 13 quý lỗ liên tiếp từ quý 4/2020. Doanh...","Một công ty thủy sản lập chuỗi 13 quý thua lỗ, em dâu Chủ tịch muốn mua gần 3 triệu cp"
39,2024-01-23 19:32:00,Chứng khoán phái sinh ngày 24/01/2024: Khối ngoại bán ròng mạnh: Các hợp đồng tương lai đồng loạt giảm điểm trong phiên giao dịch ngày 23/01/2024. VN30-Index bất ngờ đảo chiều giảm điểm cùng khối lượng giao dịch có...,Chứng khoán phái sinh ngày 24/01/2024: Khối ngoại bán ròng mạnh
40,2024-01-23 09:14:00,"Chiến lược đầu tư năm 2024 trong bối cảnh rủi ro địa - chính trị: 2024 có thể là năm bản lề, bắt đầu cho một giai đoạn mới đầy biến động về cả địa - chính trị và kinh tế thế giới, khi những cuộc bầu cử của các quốc...",Chiến lược đầu tư năm 2024 trong bối cảnh rủi ro địa - chính trị
41,2024-01-22 16:04:00,"Các quỹ ETF nội sẽ mua bán ra sao trong quý 1?: CTCK VNDirect ước tính các cổ phiếu sẽ được các quỹ ETF mua nhiều nhất bao gồm MWG, ACB và PNJ, trong khi TCB, MBB và GMD bị bán ra mạnh nhất.",Các quỹ ETF nội sẽ mua bán ra sao trong quý 1?
42,2024-01-22 08:02:00,Top cổ phiếu đáng chú ý đầu tuần 22/01: Danh sách các mã cổ phiếu tăng và giảm mạnh nhất những phiên gần đây theo số liệu thống kê của Vietstock.,Top cổ phiếu đáng chú ý đầu tuần 22/01
43,2024-01-20 10:02:00,"Nền kinh tế toàn cầu vẫn chưa thoát khỏi khó khăn: Khi căng thẳng địa chính trị leo thang và lãi suất neo ở mức cao, năm 2024 được dự báo sẽ là một năm đầy biến động đối với nền kinh tế thế giới. Điều...",Nền kinh tế toàn cầu vẫn chưa thoát khỏi khó khăn
44,2024-01-19 11:05:00,"277 ngàn tỷ đồng trái phiếu doanh nghiệp sẽ đáo hạn trong năm 2024: Theo dữ liệu VBMA (Hiệp hội thị trường trái phiếu Việt Nam) tổng hợp, tính đến ngày công bố thông tin 31/12/2023, có 55 đợt phát hành trái phiếu...",277 ngàn tỷ đồng trái phiếu doanh nghiệp sẽ đáo hạn trong năm 2024
45,2024-01-18 15:39:00,"Nhịp đập Thị trường 18/01: Tăng điểm phiên đáo hạn phái sinh dù thanh khoản sụt giảm: Sự rung rắc ập đến trong khung giờ “quen thuộc” 14h15 chỉ khiến VN-Index giảm điểm trong khoảng thời gian ngắn ngủi trước khi lấy lại đà tăng, kết...",Nhịp đập Thị trường 18/01: Tăng điểm phiên đáo hạn phái sinh dù thanh khoản sụt giảm
46,2024-01-18 08:02:00,Top cổ phiếu đáng chú ý đầu phiên 18/01: Danh sách các mã cổ phiếu tăng và giảm mạnh nhất những phiên gần đây theo số liệu thống kê của Vietstock.,Top cổ phiếu đáng chú ý đầu phiên 18/01
47,2024-01-17 16:51:00,Vận hành hệ thống KRX trễ không ảnh hưởng đến thanh khoản thị trường chứng khoán?: Vận hành Dự án Công nghệ thông tin KRX là một trong những yếu tố thúc đẩy nâng hạng thị trường chứng khoán. Nếu kịch bản trong quý 1 hay thậm chí quý...,Vận hành hệ thống KRX trễ không ảnh hưởng đến thanh khoản thị trường chứng khoán?
48,2024-01-16 20:26:00,"Thao túng giá FIR, 21 người bị phạt nặng: Ngày 12/01, Uỷ ban Chứng khoán Nhà nước (UBCKNN) ban hành quyết định xử phạt vi phạm hành chính với 2 cá nhân và 19 người liên quan đến việc thao...","Thao túng giá FIR, 21 người bị phạt nặng"
49,2024-01-16 12:30:00,Phân tích kỹ thuật phiên chiều 16/01: Chưa thoát khỏi tâm lý giằng co: VN-Index và HNX-Index tăng nhẹ và giằng co quanh mốc tham chiếu với khối lượng giao dịch khá thấp trong phiên sáng cho thấy tâm lý thận trọng của nhà...,Phân tích kỹ thuật phiên chiều 16/01: Chưa thoát khỏi tâm lý giằng co
50,2024-01-15 20:32:00,"Cổ phiếu vận tải biển và dầu khí hút tiền: Dòng tiền gia tăng trong tuần giao dịch vừa qua, trong đó, một số nhóm hút tiền khá nổi bật như vận tải biển, dầu khí.",Cổ phiếu vận tải biển và dầu khí hút tiền
51,2024-01-15 16:45:00,"Sài Gòn Capital nâng lượng trái phiếu lên 4,000 tỷ đồng: CTCP Sài Gòn Capital thông báo kết quả chào bán lô trái phiếu trị giá 1,000 tỷ đồng ngày 27/12/2023, nâng tổng lượng trái phiếu lưu hành lên 4,000 tỷ...","Sài Gòn Capital nâng lượng trái phiếu lên 4,000 tỷ đồng"
52,2024-01-15 10:17:00,"Hai năm lên sóng, chương trình tư vấn đầu tư này vẫn giữ được sức nóng đến ngày cuối cùng: 9 triệu lượt theo dõi, 10,000 lượt xem trực tiếp và 120,000 tổng lượt xem cho từng số là những con số ấn tượng về “Bí mật đồng tiền” – Chương trình...","Hai năm lên sóng, chương trình tư vấn đầu tư này vẫn giữ được sức nóng đến ngày cuối cùng"
53,2024-01-14 21:29:00,"Góc nhìn tuần 15 - 19/01: Thị trường đang vào nhịp điều chỉnh?: Theo VCBS, về góc nhìn kỹ thuật, VN-Index ghi nhận tuần giao dịch 08 - 12/01 giằng co khá căng thẳng. Các chỉ báo cho tín hiệu thị trường đang điều...",Góc nhìn tuần 15 - 19/01: Thị trường đang vào nhịp điều chỉnh?
54,2024-01-13 10:53:00,"Chủ tịch Chứng khoán Sen Vàng muốn gom thêm cổ phiếu: Nhằm tăng tỷ lệ sở hữu, Chủ tịch HĐQT CTCP Chứng khoán Sen Vàng (GLS) - ông Cao Tấn Thành vừa đăng ký mua thỏa thuận 775 ngàn cp trong giai đoạn từ...",Chủ tịch Chứng khoán Sen Vàng muốn gom thêm cổ phiếu
55,2024-01-12 14:30:00,"Chuyên gia Dragon Capital: Nợ xấu ngân hàng có thể được cải thiện trong năm 2024: Theo nhận định từ các chuyên gia trong talkshows gõ cửa tháng mới của SSI Research, nợ xấu của nhóm ngành ngân hàng có thể được cải thiện dần về cuối...",Chuyên gia Dragon Capital: Nợ xấu ngân hàng có thể được cải thiện trong năm 2024
56,2024-01-12 06:02:00,12/01: Đọc gì trước giờ giao dịch chứng khoán?: Cùng điểm qua những tin tức tài chính trong nước và quốc tế đáng chú ý diễn ra trong 24h qua trước giờ giao dịch hôm nay.,12/01: Đọc gì trước giờ giao dịch chứng khoán?
57,2024-01-11 14:32:00,"Chủ tịch HNF muốn gom gần 3 triệu cp: Nhằm mục đích đầu tư, Chủ tịch HĐQT CTCP Thực phẩm Hữu Nghị (UPCoM: HNF) - ông Trịnh Trung Hiếu muốn mua 2.63 triệu cp trong thời gian từ...",Chủ tịch HNF muốn gom gần 3 triệu cp
58,2024-01-11 08:55:00,Đổ tiền vào cổ phiếu ngân hàng: “Ông có thường xuyên giao dịch cổ phiếu ngân hàng không?” - tôi hỏi cựu lãnh đạo một ngân hàng cổ phần.,Đổ tiền vào cổ phiếu ngân hàng
59,2024-01-10 16:32:00,"ABS: Kịch bản tích cực cho tháng 1/2024: Chứng khoán ABS vừa phát hành báo cáo chiến lược tháng 1/2024, với kịch bản tích cực được ưu tiên, theo đó VN-Index sẽ đi lên vùng 1,160-1,185 điểm.",ABS: Kịch bản tích cực cho tháng 1/2024
60,2024-01-10 09:25:00,"SSI Research: Dòng tiền trước Tết Nguyên đán thường có biến động mạnh: Trong báo cáo chiến lược tháng 1/2024, SSI Research nhận định, trong tháng giao dịch đầu tiên của năm, quán tính phục hồi có thể tiếp diễn nhưng sẽ...",SSI Research: Dòng tiền trước Tết Nguyên đán thường có biến động mạnh
61,2024-01-09 18:22:00,"Theo dấu dòng tiền cá mập 09/01: Khối ngoại nối chuỗi bán ròng lên 6 phiên liên tiếp: Phiên giao dịch ngày 09/01, tự doanh công ty chứng khoán và khối ngoại vẫn đầu tư ngược chiều nhau. Trong khi khối tự doanh mua ròng phiên thứ 4 liên...",Theo dấu dòng tiền cá mập 09/01: Khối ngoại nối chuỗi bán ròng lên 6 phiên liên tiếp
62,2024-01-09 11:02:00,"Cổ phiếu bất động sản năm 2023: Kỳ vọng để rồi thất vọng: Năm 2023, giá cổ phiếu nhóm ngành bất động sản đã có lúc rất khởi sắc và đầy hứa hẹn, mang theo kỳ vọng sớm hồi phục của giới đầu tư, hòng “lấy lại...",Cổ phiếu bất động sản năm 2023: Kỳ vọng để rồi thất vọng
63,2024-01-08 20:02:00,"Thị trường chứng quyền 09/01/2024: Cung cầu cân bằng: Kết thúc phiên giao dịch ngày 08/01/2024, toàn thị trường có 91 mã tăng, 86 mã giảm và 46 mã tham chiếu. Khối ngoại tiếp tục bán ròng với tổng mức...",Thị trường chứng quyền 09/01/2024: Cung cầu cân bằng
64,2024-01-08 14:15:00,"Tháng 12, thị trường chứng khoán có thêm gần 40 ngàn tài khoản: Theo số liệu của Tổng Công ty Lưu ký và Bù trừ Chứng khoán Việt Nam (VSDC), số tài khoản chứng khoán tính tới 31/12/2023 gần 7.3 triệu tài khoản...","Tháng 12, thị trường chứng khoán có thêm gần 40 ngàn tài khoản"
65,2024-01-08 09:02:00,"2024 là năm thích hợp để tích sản cổ phiếu: Năm 2023 khép lại, 2024 mở ra những kỳ vọng mới trên thị trường chứng khoán. Trong cuộc trao đổi với người viết gần đây, ông Phạm Hoàng Ân - Trưởng...",2024 là năm thích hợp để tích sản cổ phiếu
66,2024-01-06 20:32:00,"VN-Index tăng điểm 6 phiên liên tiếp: Từ phiên 28/12/2023 tới 05/01/2024, VN-Index có 6 phiên tăng điểm liên tiếp. Chỉ số đã tăng 3% từ 1,121.99 điểm và 1,154.68 điểm.",VN-Index tăng điểm 6 phiên liên tiếp
67,2024-01-05 19:02:00,"Vi phạm nghiêm trọng nghĩa vụ công bố thông tin, DZM có khả năng bị hủy niêm yết: Trước khi nhận được cảnh báo từ Sở Giao dịch Chứng khoán Hà Nội (HNX), cổ phiếu của CTCP Cơ điện Dzĩ An (HNX: DZM) đã bị đưa vào diện kiểm soát và...","Vi phạm nghiêm trọng nghĩa vụ công bố thông tin, DZM có khả năng bị hủy niêm yết"
68,2024-01-05 12:32:00,Phân tích kỹ thuật phiên chiều 05/01: Tình trạng giằng co xuất hiện: VN-Index và HNX-Index liên tục giằng co quanh mốc tham chiếu trong bối cảnh ADX tiếp tục vận động dưới mức 20 thể hiện xu hướng tiếp tục suy yếu và...,Phân tích kỹ thuật phiên chiều 05/01: Tình trạng giằng co xuất hiện
69,2024-01-05 09:02:00,"Cổ phiếu nào luôn tăng trong 3 năm qua?: Trái ngược với năm 2022, chỉ số VN-Index kết thúc năm 2023 với mức tăng 12.2% so với đầu năm. Nhân dịp một năm vừa kết thúc, cùng điểm lại những cổ...",Cổ phiếu nào luôn tăng trong 3 năm qua?
70,2024-01-04 16:59:00,"Chủ tịch Chứng khoán Sen Vàng gom thành công hơn 6.1 triệu cp: Theo báo cáo giao dịch, Chủ tịch HĐQT CTCP Chứng khoán Sen Vàng (GLS) - ông Cao Tấn Thành đã thành công gom vào hơn 6.1 triệu cp như đăng ký.",Chủ tịch Chứng khoán Sen Vàng gom thành công hơn 6.1 triệu cp
71,2024-01-04 10:39:00,Công ty liên kết của Thế Kỷ 21 chi 100 tỷ đồng liên tục mua vào In Số 4: HNX thông báo về việc Schengen Invest tiếp tục mua vào hơn 225 ngàn cp In Số 4 để nâng tỷ lệ sở hữu lên 46.29% từ ngày 26/12/2023 với lý do đầu tư.,Công ty liên kết của Thế Kỷ 21 chi 100 tỷ đồng liên tục mua vào In Số 4
72,2024-01-03 19:32:00,Chứng khoán phái sinh ngày 04/01/2024: Tâm lý lạc quan đã quay trở lại: Các hợp đồng tương lai đồng loạt tăng điểm trong phiên giao dịch ngày 03/01/2024. VN30-Index tăng mạnh đồng thời xuất hiện mẫu hình nến White...,Chứng khoán phái sinh ngày 04/01/2024: Tâm lý lạc quan đã quay trở lại
73,2024-01-03 13:32:00,"Đón tin vui bất ngờ, cổ phiếu Vietnam Airlines tím trần: Cổ phiếu Vietnam Airlines (HOSE: HVN) tăng trần ngay sau thông tin cổ phiếu HVN có thể tiếp tục niêm yết trên sàn HOSE.","Đón tin vui bất ngờ, cổ phiếu Vietnam Airlines tím trần"
74,2024-01-03 08:02:00,Top cổ phiếu đáng chú ý đầu phiên 03/01: Danh sách các mã cổ phiếu tăng và giảm mạnh nhất những phiên gần đây theo số liệu thống kê của Vietstock.,Top cổ phiếu đáng chú ý đầu phiên 03/01
75,2024-01-02 17:17:00,Vietstock Daily 03/01/2024: Dòng tiền quay trở lại sau kỳ nghỉ lễ: VN-Index duy trì đà tăng điểm đồng thời khối lượng giao dịch đã vượt trên mức trung bình 20 ngày. Điều này chứng tỏ dòng tiền đang có dấu hiệu quay...,Vietstock Daily 03/01/2024: Dòng tiền quay trở lại sau kỳ nghỉ lễ
76,2024-01-02 11:02:00,"Các con số nổi bật trên thị trường chứng khoán năm 2023: Năm 2023 đang dần khép lại, nhưng có lẽ, trong ký ức của nhiều nhà đầu tư sẽ còn hằn sâu những con số đáng nhớ trong một năm đầy biến động của thị...",Các con số nổi bật trên thị trường chứng khoán năm 2023
77,2024-01-01 13:02:00,"Góc nhìn tuần 02/01 - 05/01/2024: Theo dõi kháng cự 1,150: Theo KBSV, nhiều khả năng chỉ số sẽ sớm gặp áp lực điều chỉnh lớn trở lại quanh cận dưới vùng kháng cự 1,150. Nhà đầu tư tránh mua đuổi trong các...","Góc nhìn tuần 02/01 - 05/01/2024: Theo dõi kháng cự 1,150"
