,Published_time,news_content,Published_date
10,2024-01-01 12:00:00,"Bộ trưởng Hồ Đức Phớc: Sớm nâng hạng thị trường chứng khoán Việt Nam Bộ Tài chính sẽ tiếp tục tăng cường thanh tra, kiểm tra, giám sát, xử lý nghiêm các hành vi vi phạm trên thị trường chứng khoán",2024-01-01
11,2024-01-01 00:05:00,"Sếp Pyn Elite Fund ""trải lòng"" với nhà đầu tư thua lỗ sau một năm rưỡi tham gia quỹ, tự tin thị trường chứng khoán sẽ tăng mạnh trong 2024 ""Ngay cả những nhà đầu tư giàu kinh nghiệm nhất cũng không thể dự đoán chính xác diễn biến thị trường. Tuy nhiên, có thể xác định các yếu tố dẫn đến thị trường mạnh hay yếu"", ông Petri Deryng chia sẻ.",2024-01-01
12,2023-12-31 09:30:00,"Thị trường chứng khoán: Thăng trầm và kỳ vọng năm 2024 Theo nhiều chuyên gia kinh tế - tài chính, thị trường chứng khoán năm 2024 được kỳ vọng sẽ lạc quan hơn năm 2023. Nền tảng của đà phục hồi đến từ môi trường lãi suất nới lỏng, đà tăng trưởng của kinh tế vĩ mô, triển vọng nâng hạng thị trường chứng khoán... là những điểm tựa cho thị trường chứng khoán trong năm 2024.",2023-12-31
13,2023-12-30 07:48:00,"Chính phủ đặt mục tiêu nâng hạng thị trường chứng khoán vào năm 2025, phấn đấu có 11 triệu tài khoản năm 2030 Ngày 29/12/2023, Phó Thủ tướng Chính phủ Lê Minh Khái đã ký phê duyệt Chiến lược phát triển thị trường chứng khoán (TTCK) đến năm 2030.",2023-12-30
14,2023-12-15 07:00:00,"Bộ phận được gọi là “tay hòm chìa khóa” ở Nhật Bản có thể châm ngòi cho sự bùng nổ của thị trường chứng khoán? Các hộ gia đình Nhật Bản nắm giữ 14.700 tỷ USD tài sản, trong đó 7.700 tỷ USD được giữ dưới dạng tiền mặt và tiền gửi.",2023-12-15
15,2023-12-12 09:37:00,"Những giải pháp thúc đẩy chất lượng thị trường chứng khoán năm 2024 Trao đổi trong Talk show Phố Tài Chính (The Finance Street Talk Show) trên VTV8, Bà Nguyễn Thị Việt Hà, Quyền Chủ tịch Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE), cho biết sẽ tiếp tục có những giải pháp thúc đẩy chất lượng thị trường chứng khoán trong năm 2024 tới. Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh (HOSE) là một trong những cơ quan quản lý trực tiếp và quan trọng của thị trường chứng khoán.",2023-12-12
16,2023-12-08 07:00:00,"“Đọc vị” những “miếng mồi” trên thị trường chứng khoán Thị trường chứng khoán cũng giống một đại dương, chứa đựng rất nhiều bí ẩn lẫn những kho báu. Tuy nhiên, cũng có rất nhiều “cạm bẫy” được cài cắm như những miếng mồi thơm ngon, rất dễ khiến nhà đầu tư “cắn câu”. Trong chương trình Bí mật đồng tiền mùa 2 - số 39 với chủ đề “Cắn câu”, các khách mời đã cùng “soi đèn”, đi tìm những trở ngại, cạm bẫy đang chực chờ…",2023-12-08
17,2023-12-06 16:55:00,"Châu Á vừa có thêm một thị trường chứng khoán 4.000 tỷ USD Trong chưa đầy 3 năm qua, thị trường chứng khoán Ấn Độ tăng thêm hơn 1.000 tỷ USD, đưa tổng giá trị vốn hóa lên 4.000 tỷ USD.",2023-12-06
18,2023-11-24 14:55:00,"Bí mật đồng tiền: Đi tìm những ""loài vật đáng sợ"" trên thị trường chứng khoán “Chúng ta đã đi thăm quan cả một khu rừng” là nhận định của Host Dương Ngọc Trinh sau khi kết thúc chương trình Bí mật đồng tiền mùa 2, số 37. Xuất phát từ chủ đề “tê giác xám” - một thuật ngữ kinh tế để miêu tả những rủi ro thường bị lơ là, Bí mật đồng tiền số này đã cùng khán giả “chỉ mặt, gọi tên” những “loài động vật” đáng quan ngại trên thị trường chứng khoán.",2023-11-24
19,2023-11-22 07:49:00,"FPT trở lại top 10 doanh nghiệp niêm yết giá trị nhất thị trường chứng khoán sau nhiều năm Con số 4,9 tỷ USD không phải là mức vốn hóa cao nhất mà FPT từng đạt được. Tại thời điểm đạt đỉnh lịch sử vào đầu tháng 9/2023, vốn hóa của doanh nghiệp công nghệ này lên đến 5,2 tỷ USD.",2023-11-22
20,2023-11-08 12:16:00,"Một chỉ báo cực hiếm vừa loé sáng, phát tín hiệu về cơ hội tăng hơn 20% của thị trường chứng khoán Mỹ năm tới Bài học quan trọng mà các nhà đầu tư rút ra được sau mỗi lần chỉ báo này xuất hiện là thị trường chứng khoán sẽ tăng mạnh.",2023-11-08
21,2023-11-08 11:25:00,"Vợ ông Nguyễn Đỗ Lăng bán xong gần 1 triệu cổ phiếu Cotana (CSC) trong lúc bị khởi tố, tạm giam vì thao túng thị trường chứng khoán Tạm tính, bà Huỳnh Thị Mai Dung có thể thu về khoảng 28 tỷ đồng từ giao dịch trên.",2023-11-08
22,2023-11-01 15:25:00,"Giữa lúc sóng gió bủa vây thị trường chứng khoán, tài sản an toàn nhất thế giới trở thành thỏi nam châm hút các “tay to” Nợ chính phủ Mỹ từng là một trong những góc “buồn ngủ” nhất của thị trường tài chính nhưng giờ không còn như vậy nữa.",2023-11-01
23,2023-11-01 08:59:00,"Bộ Công an “vạch mặt” thủ đoạn chiếm đoạt tài sản mà các đối tượng “thao túng thị trường chứng khoán” thường sử dụng Theo Bộ Công an, các đối tượng đã lợi dụng việc mở tài khoản chứng khoán một cách dễ dàng, không kiểm soát, rồi thuê, nhờ người khác đứng tên mở hộ tài khoản để sử dụng mua bán, tạo cung cầu giả, đẩy giá lên cao, bán ra thu lợi bất chính.",2023-11-01
24,2023-10-28 14:45:00,"Thị trường chứng khoán lớn nhất thế giới vừa trải qua tháng 10 tồi tệ nhất trong 5 năm qua: Nhiều nhà đầu tư chán nản rút lui Theo Bloomberg, có khả năng đây là tháng 10 tồi tệ nhất trong 5 năm qua của thị trường chứng khoán Mỹ.",2023-10-28
25,2023-10-28 08:36:00,"Những “nạn nhân” bất đắc dĩ thường bị đổ lỗi mỗi khi thị trường chứng khoán giảm sâu Mỗi khi thị trường chứng khoán biến động mạnh, nhà đầu tư thường có xu hướng tìm kiếm đối tượng để đổ lỗi từ tin đồn, đội lái đến phái sinh, T+, ATC,...",2023-10-28
26,2023-10-27 07:20:00,"UBCKNN: Xử lý nghiêm các đối tượng tung tin đồn thất thiệt gây ảnh hưởng tâm lý nhà đầu tư trên thị trường chứng khoán Đại diện Ủy ban Chứng khoán Nhà nước khẳng định, thị trường chứng khoán đang duy trì hoạt động ổn định, thể hiện qua thanh khoản cải thiện cũng như số lượng tài khoản nhà đầu tư mở mới liên tục gia tăng trong thời gian qua. Cơ quan quản lý khuyến nghị nhà đầu tư cần nhìn nhận, đánh giá toàn diện về kinh tế vĩ mô, cũng như tiếp nhận các thông tin chính thống, cẩn trọng với tin đồn thất thiệt.",2023-10-27
27,2023-10-19 11:10:00,"Muốn “tiền đẻ ra tiền” nhưng nhiều người không dám tìm đến thị trường chứng khoán như 2 năm trước Dù thị trường chứng khoán là kênh đầu tư tiềm năng, một số người trẻ vẫn không dám tham gia vào thời điểm này vì có quá nhiều biến động.",2023-10-19
28,2023-10-18 14:09:00,"Nhiều quỹ đầu tư giữ phong độ tốt bất chấp thị trường chứng khoán biến động mạnh, bộ đôi của SSIAM gây ấn tượng SSI-SCA ghi nhận hiệu suất đầu tư vượt trội đạt gần 32% từ đầu năm trong khi SSIAM VNFinLead ETF là quỹ hoán đổi hiếm hoi nằm trong top đầu về hiệu suất.",2023-10-18
29,2023-10-13 15:56:00,"Trung Quốc chuẩn bị thành lập một 'quỹ đặc biệt' để 'vực dậy' thị trường chứng khoán trị giá gần 10 nghìn tỷ USD Bloomberg dẫn nguồn tin thân cận cho biết, Trung Quốc đang cân nhắc thành lập một quỹ bình ổn do nhà nước hậu thuẫn để củng cố niềm tin đối với thị trường chứng khoán 9,5 nghìn tỷ USD.",2023-10-13
30,2023-09-25 19:00:00,"Tình cảnh trớ trêu trên thị trường chứng khoán một quốc gia châu Á: Các tỷ phú hàng đầu của Mỹ đổ hàng chục tỷ USD để đầu tư, nhưng người dân trong nước thờ ơ ""ra mặt"" Khoảng 125 triệu người dân nước này không hào hứng với việc đầu tư chứng khoán trong nước, vì sợ rủi ro.",2023-09-25
31,2023-09-05 14:13:00,"Ca sĩ Khánh Phương thoái sạch vốn tại Sông Đà 1.01, kết thúc 14 tháng mua bán sôi nổi trên thị trường chứng khoán Trong 4 tháng từ tháng 6/2022 đến tháng 10/2022, ca sĩ Khánh Phương đã gom 45% vốn của Sông Đà 1.01. Sau đó, ca sĩ Khánh Phương đã dần thoái vốn tại công ty này và đến tháng 8/2023 không còn sở hữu cổ phiếu nào.",2023-09-05
32,2023-08-30 10:00:00,Đi tìm cách giảm thiểu rủi ro hiệu quả giữa thị trường chứng khoán biến động khó lường Làm thế nào để giảm thiểu rủi ro khi dòng tiền xoay trục nhanh giữa các nhóm cổ phiếu? Đây có lẽ là câu hỏi mà không ít nhà đầu tư đang băn khoăn tìm ra lời giải.,2023-08-30
33,2023-08-25 16:27:00,"Vợ ông Nguyễn Đỗ Lăng bất ngờ muốn bán 1 triệu cổ phiếu Cotana (CSC) sau khi bị khởi tố vì thao túng thị trường chứng khoán Tạm tính tại mức thị giá cổ phiếu CSC hiện tại, bà Huỳnh Thị Mai Dung có thể thu về khoảng 35 tỷ đồng từ giao dịch trên.",2023-08-25
34,2023-08-18 15:34:00,"Kỷ lục mới: 1,6 tỷ cổ phiếu được khớp lệnh trên sàn HoSE, cao nhất lịch sử thị trường chứng khoán Việt Nam Tâm lý nhà đầu tư muốn bán cổ phiếu bằng mọi giá khiến cho hàng loạt mã cổ phiếu giảm sàn, 240 mã giảm hết biên độ trong phiên giao dịch hôm nay.",2023-08-18
35,2023-08-15 19:06:00,"Tỷ giá bất ngờ ""dậy sóng"" tác động như thế nào đến thị trường chứng khoán Việt Nam? Theo MBS, đà tăng của tỷ giá VND/USD có thể làm ngừng lại quá trình nới lỏng tiền tệ song chưa thể khiến NHNN đảo chiều chính sách.",2023-08-15
36,2023-08-13 08:30:00,"Thị trường chứng khoán được hỗ trợ bởi triển vọng kinh tế cuối năm khởi sắc Trong bối cảnh mùa báo cáo kết quả kinh doanh quý II đã qua đi, thị trường chứng khoán Việt Nam đang tiến vào vùng trống thông tin ở tuần giao dịch tới.",2023-08-13
37,2023-08-08 19:38:00,"Thị trường chứng khoán tăng nóng, cơ hội nào cho nhà đầu tư lỡ ""sóng""? Ngân hàng được kỳ vọng sẽ đóng góp lớn nhất vào đà tăng giá của thị trường chứng khoán từ nay đến cuối năm, khi vốn tín dụng được giải ngân nhanh hơn sau khi mặt bằng lãi suất cho vay hạ nhiệt.",2023-08-08
38,2023-08-08 12:33:00,"Thanh khoản thị trường chứng khoán “tỷ đô”, nhà đầu tư đang dần tự tin vào triển vọng doanh nghiệp cũng như nền kinh tế Chuyên gia BSC đánh giá thị trường chứng khoán đi trước nền kinh tế vĩ mô từ một quý cho đến ba quý nên phần nào đó có thể nhìn nhận những khó khăn nhất đã qua đi và chúng ta sẽ có những bước phục hồi tốt hơn trong quý III, quý IV năm 2023 và đầu năm 2024.",2023-08-08
39,2023-07-28 07:30:00,"Sau 23 năm hoạt động của thị trường chứng khoán Việt Nam: Phổ cập hơn 7 triệu tài khoản, khẳng định vị thế của kênh dẫn vốn quan trọng trong nền kinh tế Trải qua hơn 2 thập kỷ hoạt động, thị trường chứng khoán Việt Nam đã chứng tỏ được sức hút mạnh mẽ, thể hiện qua chất lượng hàng hóa trên sàn, quy mô giao dịch cũng như số lượng nhà đầu tư tham gia vào giao dịch trên thị trường với chất lượng ngày càng được nâng cao.",2023-07-28
40,2023-07-11 07:22:00,"Số lượng doanh nghiệp niêm yết mới và đấu giá cổ phần thấp kỷ lục trong nửa đầu năm 2023, thị trường chứng khoán đang ""thiếu hàng"" Bóng dáng các “bom tấn” có thể niêm yết trong ngắn hạn gần như không có sau khi một số tên tuổi được chờ đợi đã “quay xe” vì nhiều lý do khác nhau.",2023-07-11
41,2023-07-10 20:06:00,Các nhà đầu tư cảnh báo “những nỗi đau phía trước” với thị trường chứng khoán lớn nhất thế giới Cuộc khảo sát mới nhất mà Markets Live Pulse tiến hành cho thấy S&P 500 sẽ đối mặt với nhiều khó khăn hơn trong thời gian tới khi lợi nhuận doanh nghiệp được cảnh báo sẽ giảm trong khi lãi suất nhiều khả năng tiếp tục tăng.,2023-07-10
42,2023-07-03 16:05:00,"'Độc lạ' thị trường chứng khoán tăng 800%: Một phiên tăng 20% là chuyện bình thường, nhưng nhà đầu tư nước ngoài 'không dám lại gần' Thị trường chứng khoán nước này chứng khoán đà tăng liên tục với những con số ""gây choáng"": 5%, 10% hay 20% chỉ trong 1 phiên.",2023-07-03
43,2023-07-01 23:04:00,Hệ thống KRX sắp vận hành và dự báo tác động trên thị trường chứng khoán Việt Nam Vận hành hệ thống KRX là điều kiện tiên quyết để nâng hạng thị trường qua đó thu hút mạnh mẽ dòng vốn ngoại và đưa thị trường chứng khoán Việt Nam lên tầm cao mới.,2023-07-01
44,2023-06-30 15:50:00,"Triệu phú tự thân bật mí 4 bí quyết làm giàu khi tận dụng lợi thế của thị trường chứng khoán Từ một chàng trai nghèo khó, Alan Corey đã trở thành một podcaster và doanh nhân bất động sản. Ông là đồng sáng lập công ty House Money Media và là tác giả của cuốn sách “House FIRE: How to Be a Red-Hot Real Estate Millionaire With a Wealth of Time and Money to Burn.”",2023-06-30
45,2023-06-28 12:36:00,"Bắt tạm giam Tổng Giám đốc Chứng khoán Apec Nguyễn Đỗ Lăng cùng 4 bị can về tội Thao túng thị trường chứng khoán Viện Kiểm sát nhân dân TP Hà Nội cũng đã phê chuẩn các Quyết định tố tụng trên. Hiện Cơ quan An ninh điều tra – Công an TP Hà Nội đang tiếp tục điều tra, mở rộng vụ án.",2023-06-28
46,2023-06-23 19:38:00,"UBCKNN lên tiếng về vụ án hình sự thao túng thị trường chứng khoán đối với cổ phiếu API, IDJ và APS Cơ quan An ninh điều tra - Công an TP. Hà Nội đã ra Quyết định khởi tố vụ án hình sự Thao túng thị trường chứng khoán xảy ra tại Công ty cổ phần Chứng khoán châu Á – Thái Bình Dương (APS), Công ty cổ phần Đầu tư châu Á Thái Bình Dương (API) và Công ty cổ phần Đầu tư IDJ Việt Nam (IDJ) để tiến hành điều tra theo quy định.",2023-06-23
47,2023-06-16 16:25:00,"Thêm một quỹ ngoại sắp vào thị trường chứng khoán Việt Nam, dành ít nhất 90% danh mục để mua cổ phiếu Mục tiêu của quỹ là mang lại cơ hội tiếp cận thị trường chứng khoán Việt Nam cho các nhà đầu tư nhỏ lẻ có tầm nhìn dài hạn và có khẩu vị rủi ro cao ở Malaysia.",2023-06-16
48,2023-06-07 14:05:00,"Nghịch lý thị trường chứng khoán một quốc gia tăng dựng đứng 600% nhưng lại là “tin chẳng lành” Ngày 6/6, sàn giao dịch chứng khoán ở thủ đô nước này đã tạm dừng hoạt động trong một khoảng thời gian ngắn, sau khi chỉ số chính tăng 10%.",2023-06-07
49,2023-05-31 07:35:00,"Cổ tích Lọ Lem trên thị trường chứng khoán: Cổ phiếu một công ty tăng 222% trong chưa đầy 1 năm, lặng lẽ “vượt mặt” cả Microsoft, Meta, Amazon Từng bị chê vì sản xuất những sản phẩm “dị”, công ty này đang tạo ra cơn sốt với người tiêu dùng trên toàn cầu và mang về lợi nhuận khổng lồ.",2023-05-31
50,2023-05-09 11:22:00,"Chấn động thị trường chứng khoán Mỹ: Nhiều quan chức chính phủ giao dịch cổ phiếu các công ty mình quản lý, tự quyết định giá tăng hay giảm Mỹ có một hệ thống chủ yếu dựa vào nhân viên chính phủ để giám sát hoạt động đầu tư chứng khoán của…chính họ.",2023-05-09
51,2023-05-08 16:21:00,"Cơn bĩ cực của kỹ sư công nghệ mới ra trường: Nhận lương bằng cổ phiếu, sống giàu sang để rồi khóc ròng khi thị trường chứng khoán lao dốc Sống giàu sang khi mới ra trường nhờ cổ phiếu tăng giá, giờ đây nhiều kỹ sư công nghệ phải ngậm ngùi chấp nhận cảnh “lên voi xuống hố”.",2023-05-08
52,2023-04-12 21:15:00,Giáo sư tài chính Jeremy Siegel: Thị trường chứng khoán đã chạm đáy và đây là chiến thuật đầu tư nếu kinh tế suy thoái Giáo sư Jeremy Siegel tại Đại học Warton ngày càng lo ngại hơn về nguy cơ xảy ra suy thoái kinh tế.,2023-04-12
53,2023-04-07 17:30:00,"Tiềm năng thị trường chứng khoán giữa cơn biến động Trước tín hiệu khởi sắc, chuyên gia chứng khoán khuyên nhà đầu tư nên bình tĩnh, đưa ra quyết định cẩn thận để nắm bắt cơ hội thay vì ""án binh bất động"" trong thời gian dài.",2023-04-07
54,2023-04-04 07:23:00,"Nhiều tia hy vọng cho thị trường chứng khoán trong thời gian tới Giữa những áp lực đến từ thế giới, đội ngũ phân tích Mirae Asset vẫn thấy những tia hy vọng cho thị trường Việt Nam.",2023-04-04
55,2023-04-03 16:04:00,"Lấy lại 20.000 tỷ từ đầu tháng 3, 20 người giàu nhất thị trường chứng khoán sở hữu 349.000 tỷ đồng Tài sản của tỷ phú Phạm Nhật Vượng tiếp tục tăng mạnh mẽ trong phiên đầu tháng Tư.",2023-04-03
56,2023-03-10 08:02:00,"Một mặt hàng ‘secondhand’ giúp các trader thu lời hơn gấp 2 lần so với đầu tư vào thị trường chứng khoán Mỹ Kể từ giữa năm 2018, giá của mặt hàng này tăng trung bình 20%/năm - chỉ số S&P 500 còn “thua kém” xa.",2023-03-10
57,2023-02-27 10:18:00,"Mỹ: Người trẻ giàu có 'mất niềm tin' vào thị trường chứng khoán, chỉ ra 3 loại tài sản này mới giúp giàu nhanh hơn Các nhà đầu tư trẻ ngày càng tin rằng “một danh mục đầu tư cổ phiếu và trái phiếu truyền thống sẽ không mang lại lợi nhuận trên mức trung bình về lâu dài.”",2023-02-27
58,2023-02-07 17:00:00,"Điều gì khiến các quỹ ETF ồ ạt tham gia thị trường chứng khoán Việt Nam? Theo ông Ngô Thanh Hải, Chủ tịch FPT Capital, việc các quỹ ETF liên tục mua ròng trong thời gian qua cho thấy thị trường chứng khoán Việt Nam hiện đang tương đối hấp dẫn và về dài hạn của kinh tế Việt Nam và thị trường tài chính Việt Nam có rất nhiều triển vọng.",2023-02-07
59,2023-02-04 15:55:00,"Từng có lúc tài khoản lãi cả triệu USD, 'đội quân' nhà đầu tư nghiệp dư sốc vì trắng tay sau 2 năm, vội đến rồi vội đi khỏi thị trường chứng khoán Các hộ gia đình dự kiến sẽ rút khoảng 100 tỷ USD khỏi thị trường vào năm 2023, đây sẽ là lần đầu tiên dòng tiền chảy ra khỏi thị trường kể từ năm 2018.",2023-02-04
60,2023-02-02 11:12:00,"Bộ đôi quỹ ETF ngoại lâu đời nhất thị trường chứng khoán Việt Nam hút ròng gần 3.000 tỷ đồng trong tháng đầu năm 2023 Chỉ trong tháng 1, hai quỹ ETF ngoại hàng đầu thị trường đã hút ròng tổng cộng gần 115 triệu USD (khoảng gần 2.700 tỷ đồng). Trong đó, tỷ trọng phân bổ vào cổ phiếu Việt Nam ước tính khoảng 2.200 tỷ đồng.",2023-02-02
61,2023-01-27 09:55:00,"Không dự báo xu hướng thời trang, chiếc áo sơ mi này có khả năng thay đổi giá theo thị trường chứng khoán Trước những biến động của thị trường, nhà sản xuất áo sơ mi nam của Thụy Điển Eton Shirts và công ty sáng tạo Valtech Radon đã phát triển The Index Shirt.",2023-01-27
62,2023-01-16 20:00:00,"Hàng loạt cá nhân, tổ chức bị phạt do phạm lỗi trên thị trường chứng khoán Chỉ trong vòng một tuần nay, Uỷ ban chứng khoán Nhà nước đã ban hành hàng loạt quyết định xử phạt cá nhân, tổ chức vi phạm liên quan đến phát hành trái phiếu, công bố thông tin, giao dịch cổ phiếu...",2023-01-16
63,2023-01-16 16:42:00,"BIDV trở thành á quân vốn hóa thị trường chứng khoán Việt Nam, ""vượt mặt"" bộ đôi Vingroup So với vùng đáy ngắn hạn vào tháng 10/2022, đà tăng của cổ phiếu đã đẩy vốn hóa BIDV tăng gần 82.000 tỷ đồng.",2023-01-16
64,2023-01-16 14:58:00,Elon Musk sắp phải hầu tòa vì cáo buộc thao túng thị trường chứng khoán: Rốt cục chuyện gì đang diễn ra? Tuyên bố hồi năm 2018 về việc tư nhân hóa Tesla khiến Elon Musk tới đây phải ra hầu tòa.,2023-01-16
65,2023-01-15 21:30:00,"KienlongBank rút hồ sơ niêm yết cổ phiếu trên HOSE vì ""thị trường chứng khoán chưa thuận lợi"" Giá cổ phiếu KienlongBank đã giảm khoảng 70% trong gần 1 năm qua, xuống thấp nhất kể từ cuối năm 2020.",2023-01-15
66,2023-01-13 18:00:00,"Loạt hoa hậu tham gia kinh doanh, đạt thành quả khiến ai cũng trầm trồ: Người là nữ đại gia trên thị trường chứng khoán, người gây bão khi trở thành phó tổng công ty lớn Không chỉ có nhan sắc động lòng người, lung linh dưới ánh đèn sân khấu, những nàng hậu Việt còn khiến nhiều người ngưỡng mộ bởi tài năng kinh doanh. Không ít hoa hậu sau khi đăng quang tại các cuộc thi sắc đẹp đã mạnh dạn tham gia vào hoạt động kinh doanh với chức vụ quan trọng trong doanh nghiệp hoặc tự khởi nghiệp, đạt được những thành tựu nổi bật.",2023-01-13
67,2023-01-13 12:04:00,"Các công ty có liên quan đến vụ án thao túng thị trường chứng khoán nổi bật trong năm 2022 đang hoạt động ra sao? Vụ án ""Thao túng thị trường chứng khoán"" liên quan vụ ""thổi giá"" 2 mã cổ phiếu BII và TGG mới đây đã được Viện KSND Tối cao hoàn tất cáo trạng. Kể từ khi ông Đỗ Thành Nhân bị bắt hồi tháng 4/2022, các công ty liên quan đều gặp phải nhiều khó khăn trong vấn đề nhân sự, quản trị, kinh doanh. Đã có công ty bị ngân hàng rao bán nợ.",2023-01-13
68,2023-01-04 08:39:00,"Nhà sáng lập FinPeace: Cơ hội đầu tư ""10 năm có 1"" xuất hiện trên thị trường chứng khoán Ông Nguyễn Tuấn Anh cho rằng nhà đầu tư đang tiến vào khu vực giá được chiết khấu mạnh so với vùng đỉnh, đây là lợi thế để “shopping” thời điểm này.",2023-01-04
69,2022-12-29 08:19:00,"Tại sao thanh khoản trên thị trường chứng khoán thường sụt giảm đáng kể vào tháng Củ mật? Tại chương trình Bí mật đồng tiền, các chuyên gia đã mang lại nhiều kiến thức, kinh nghiệm bổ ích giúp chứng sỹ có góc nhìn đa chiều về những biến động của thị trường trong tháng củ mật.",2022-12-29
70,2022-12-28 16:06:00,"Điểm lại những ‘sóng gió’ trên thị trường chứng khoán năm 2022 Trong bức tranh của nền kinh tế vĩ mô năm 2022, thị trường chứng khoán (TTCK) Việt Nam có nhiều gam màu trầm hơn những dấu ấn tích cực.",2022-12-28
71,2022-12-28 12:47:00,"Thứ trưởng Nguyễn Đức Chi: Qua năm 2022, thị trường chứng khoán sẽ đi vào thực chất để phát triển bền vững Theo Thứ trưởng Bộ Tài chính, trong năm 2023, cần triển khai các giải pháp để thị trường phát triển thực chất, bền vững hơn, tăng thanh khoản, tiếp tục là kênh dẫn vốn quan trọng của nền kinh tế.",2022-12-28
